Year,Title,Director,Cast,Genre
1923,Matri Sneha a.k.a. A Mother's Love,Jyotish Bannerjee,"niroda,chakraborty,akshoy,edwin,sundari,choudhury,sushila,amar,mayer,patience,bannerjee,miss,kumud,cooper,tulsi,debi,prabhadevi,jr,kalidas","social,drama"
1923,Matsya Varah Avtar,Unknown,unknown,mythology
1923,Maya Bazar,Baburao Painter,"shantaram,v",mythology
1923,Minal Devi a.k.a. The Sin Redeemed,Kanjibhai Rathod,"miss,khalil,tara,moti",social
1923,Noorjehan a.k.a. Light Of The World a.k.a. Nurjehan,J. J. Madan,"ezra,manchersha,creed,patience,dadibhai,chapgar,albertini,cooper,charles,mir,sarkari","historical,biopic"
1923,Raja Gopichand,Unknown,unknown,legend
1923,Raja Mayurdhwaja,Unknown,"asooji,madanrai,vakil",mythology
1923,Samudra Madanam,R. S. Prakash,unknown,mythology
1923,Sati Narmada,"Kanjibhai Rathod, Narayan Deware",unknown,unknown
1923,Sati Veermata a.k.a. Pious Veermata,S. N. Patankar,unknown,historical
1923,Savitri a.k.a. Savitri E Satyvan Savitri Satyvan,"Giorgio Mannini, J. J. Madan","ferrari,gianna,castellani,gonzales,bruto,terribili,lydianne,liguoro,de,angelo,rina",mythology
1923,Shishupal Vadha a.k.a. The Killing Of Shishupal,G. V. Sane,"bhaurao,sonabai,datar,sane,pawar,bachu",mythology
1923,Shri Balkrishna a.k.a. The Child Krishna,"Kanjibhai Rathod, Narayan Devare",unknown,religious
1923,Shri Krishna Avatar,Baburao Painter,"shantaram,v",religious
1923,Shri Krishna Bhakta Peepaji,S. N. Patankar,unknown,devotional
1923,Shri Krishna Satyabhama a.k.a. Krishna Satyabhama a.k.a. Samantak Mani,S. N. Patankar,"tarabai,koregaonkar,thatte",mythology
1923,Shuk Rambha a.k.a. Shukh Deo,Kanjibhai Rathod,"khalil,tara",fantasy
1923,Silent Curse a.k.a. Sati Ka Shaap,Manilal Joshi,unknown,legend
1923,Sinhagad,Baburao Painter,"bhave,balasaab,yadav,d,baburao,painter,pawar,g,p,zhunzharrao,shantaram,k,r,v,sarpotdar,mane,kamaladevi,nalini","historical,drama"
1923,Soul Of A Slave,Hemchandra Mukherjee,"prafulla,sudhir,jyotish,adele,ahindra,chowdhury,nag,ghosh,jugal,richards,mitra,mukherjee,jane,hemchandra,bose,willinsonworth,gokul","costume,drama"
1923,The Catechist Of Kil Arni,"R. S. Prakash, Thomas Gavin Duffy","duffy,gavin,thomas",religion
1923,Vaman Avatar a.k.a. Raja Bali,S. N. Patankar,unknown,mythology
1923,Vanraj Chavdo a.k.a. Vanraj Chavda,Unknown,unknown,"legend,historical"
1923,Veer Bhimsen,Kanjibhai Rathod,"sakina,raja,moti,miss,savita,tara,sandow",mythology
1923,Vratrasoor Vadha,Unknown,unknown,mythology
1923,Yayati,Dhirendranath Ganguly,unknown,devotional
1924,Ashwathama,Dadasaheb Phalke,"bhaurao,datar,madhav,malusare,pendse,dada,gotiram",mythology
1924,Atma Bal a.k.a. Sundar Kamdar,Unknown,"asooji,elizer",unknown
1924,Bal Shringee or Bal Shringi,Unknown,unknown,mythology
1924,Bali Yagna,V. K. Pattani,"vaidya,nanubhai,batukbhai",mythology
1924,Bali Yagna a.k.a. Self-surrender At The Feet of the Master,Kanjibhai Rathod,unknown,mythology
1924,Bismi Sadi a.k.a. Twentieth Century,Homi Master,"charlie,noor,raja,moti,miss,mohammed,sandow",social
1924,Bhakta Sudhanva,Unknown,unknown,devotional
1924,Chandan Malayagiri,Naval Gandhi,unknown,unknown
1924,Chandragupta And Mahatma Chanakya a.k.a. Chandragupta Chanakya,Unknown,"asooji,jilloobai",historical
1924,Chandranath,Naresh Mitra,"chowdhury,durgadas,jogesh,mitra,bannerjee,nirmalbala,naresh",social
1924,Datta Janma a.k.a. Sati Ansuya,G. V. Sane,"bhaurao,datar,ashraben,motiram,bachu",devotional
